month,total_cnt,count_hours,windspeed,season,count_per_hour
1,38189,31,0.19541879999999998,1,1231.9032258064517
2,48215,28,0.22856804642857145,1,1721.9642857142858
3,64045,31,0.23240777419354838,1,2065.967741935484
4,94870,30,0.2442164,2,3162.3333333333335
5,135821,31,0.18127430645161288,2,4381.322580645161
6,143512,30,0.17819537666666668,2,4783.733333333334
7,141341,31,0.17166740322580645,3,4559.387096774193
8,136691,31,0.19072054193548388,3,4409.387096774193
9,127418,30,0.1529894066666667,3,4247.266666666666
10,123511,31,0.17568555161290322,4,3984.2258064516127
11,102167,30,0.18094582666666667,4,3405.5666666666666
12,87323,31,0.1680400129032258,4,2816.8709677419356
